Condition,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12,Dimension 13,Dimension 14,Dimension 15,Dimension 16,Dimension 17,Dimension 18,Dimension 19,Dimension 20,Dimension 21,Dimension 22,Dimension 23,Dimension 24,Dimension 25,Dimension 26,Dimension 27,Dimension 28,Dimension 29,Dimension 30
Hypertension,-0.14777,0.00892,0.00918,0.00452,-0.01362,0.00063,0.00303,-0.00227,0.0017,0.00187,0.00247,-0.00049,-0.00118,0.00054,-4e-05,0.00055,0.00017,-0.00239,-0.00107,-7e-05,8e-05,-0.00075,-0.00048,-9e-05,0.00011,-0.00064,3e-05,-0.00137,0.00033,0.00044
Hypertrophic Cardiomyopathy,-0.17973,-0.04676,-0.00476,-0.05689,0.01625,-0.05694,0.02635,0.00205,0.00702,0.06863,0.00465,0.11205,-0.01368,-0.03415,0.02018,-0.00295,0.01001,-0.00164,0.03371,0.08599,0.01818,0.03558,0.00741,-0.01205,0.02104,-0.00262,-0.00224,0.00517,-0.0036,-0.01106
Hypertrophic Nasal Turbinates,0.00764,-0.00078,-0.00962,0.02829,0.026,-0.00423,-0.0108,0.02237,0.00622,-0.01734,-0.01742,0.01533,-0.02008,-0.00717,0.0018,-0.00031,0.00261,-0.01362,-0.02566,0.00598,-0.00861,0.00934,0.01248,0.00649,-0.00827,0.00321,0.00364,0.00125,0.00229,-0.0035
Hyposplenism,-0.09143,-0.00703,-0.05303,-0.01183,-0.01575,0.02333,-0.00987,0.01264,-0.04733,0.02658,-0.01846,0.01826,-0.00023,0.02451,-0.11293,-0.07595,0.03889,0.02215,-0.0108,0.00325,0.0127,0.03376,-0.01731,0.04206,0.00791,-0.00299,0.07287,0.00453,-0.035,0.01048
Idiopathic Intracranial Hypertension,0.02279,0.02735,-0.01549,0.04114,0.0648,-0.00655,0.00271,-0.00217,0.00059,0.01521,-0.00619,0.00942,-0.02937,0.02249,-0.00491,-4e-05,0.00945,-0.02081,-0.00841,0.00705,-0.01118,-0.01219,-0.01392,0.01698,0.0028,-0.01632,-0.02325,-0.01421,-0.00112,-0.00306
Immunodeficiencies,-0.04678,-0.02789,-0.05609,0.0164,0.0326,0.02971,-0.01429,0.01009,-0.00798,0.02185,-0.05357,0.02304,0.01049,0.01436,-0.07763,-0.03405,-0.00062,0.01748,-0.04141,0.00591,-0.00619,0.02776,-0.01346,-0.00856,0.00643,0.0223,0.01248,0.00495,-0.00482,0.01656
Intellectual disability,0.03441,0.01091,-0.0056,-0.03054,0.0313,0.05073,0.03556,-0.12892,0.02831,0.05606,-0.17829,-0.02157,-0.00341,-0.00738,0.01913,0.00172,0.00271,0.01331,0.00721,-0.00018,-0.00326,-0.00098,-0.00777,-0.00244,0.00306,0.00055,0.00375,-0.00031,3e-05,-0.00025
Intervertebral disc disorders,-0.09341,-0.00989,-0.01187,0.04751,0.00403,-0.00715,-0.00573,0.00794,0.00097,-0.01251,-0.00287,0.00109,0.00212,-0.01043,0.00223,0.00117,0.00874,0.01243,-0.00634,0.00348,0.00398,-0.01234,0.00089,0.00928,0.01417,0.00353,-0.0002,0.00378,0.00413,-0.00387
Intracerebral haemorrhage,-0.2059,-0.05713,-0.02255,-0.0347,-0.0135,0.06213,0.0383,-0.0563,0.03392,0.02908,0.04907,-0.06376,-0.11097,-0.01081,-0.02147,0.001,-0.00833,0.02355,0.00126,0.01091,-0.0013,0.01219,0.00849,0.00317,0.0066,0.00638,0.00251,0.00729,0.00521,0.00326
Irritable bowel syndrome,-0.00334,-0.00977,-0.01962,0.05006,0.03325,-0.00412,-0.00232,0.00871,-0.00016,-0.00843,-0.00173,0.00567,-0.00854,0.00543,0.0047,-0.00253,0.00403,-0.0008,0.0046,-0.00088,-0.00269,0.00161,-0.00029,-0.00125,-0.00045,-0.00027,0.00036,0.00143,-0.00034,0.00035
Ischaemic stroke,-0.26914,-0.07485,-0.00721,-0.0463,0.00613,0.05361,0.03283,-0.0443,0.03205,0.02635,0.0552,-0.04976,-0.10502,-0.0158,-0.01831,-0.00028,-0.00822,0.01801,0.00104,0.00272,-0.00221,0.00847,0.00898,0.00226,0.00582,0.00559,0.00128,-0.00142,0.00381,0.00113
Left bundle branch block,-0.29605,-0.09632,-0.01185,-0.06222,0.02676,-0.03921,0.02178,0.00592,0.00438,0.04474,0.00623,0.08328,0.00854,-0.01401,0.02585,0.00309,0.0113,-0.00219,0.01986,0.04343,0.01615,0.01721,0.00573,-0.00518,0.00576,0.0003,0.00161,0.00507,0.00225,-0.00564
Leukaemia,-0.13864,-0.02638,-0.01961,-0.01111,-0.02069,0.02127,-0.00947,0.0124,-0.01309,0.01482,-0.01655,0.01167,0.01141,0.01149,-0.0732,-0.05033,0.04088,-0.00416,-0.00885,0.00201,0.01388,0.00826,-0.02541,-0.00462,-0.01409,0.01765,-0.00429,0.00204,0.02423,0.01013
Low HDL-C,-0.1069,0.04235,0.01063,0.00498,0.0019,-0.01473,0.00327,-0.00502,-4e-05,0.00382,-0.00291,0.00123,-0.00561,0.00501,-0.00294,-0.00033,-7e-05,-0.0031,-0.00132,0.00054,-0.00078,-0.00136,4e-05,0.00072,-0.00061,-0.00082,-0.00123,-0.00035,0.00037,-0.00032
Lupus Erythematosus,-0.07438,-0.02745,-0.04125,0.06122,0.03678,0.01553,0.00209,0.03041,-0.00026,0.04727,-0.00908,0.00955,0.01026,0.04677,-0.06519,0.00252,-0.02234,0.05026,-0.02068,-0.00204,-0.03043,0.00845,0.02484,-0.02989,0.03484,-0.0808,0.00674,-0.00951,0.0203,0.00024
Macular degeneration,-0.27347,-0.06148,0.00169,-0.00956,-0.00412,0.07731,0.00643,-0.00158,0.01511,-0.00657,0.0094,-0.01116,0.02935,0.00564,0.01365,0.00509,0.00469,-0.02171,0.00181,-0.00263,-0.00668,0.01395,-0.00989,0.00746,-0.00258,-0.00409,-0.00179,-0.00274,-0.00116,-0.00573
Meniere's Disease,-0.1411,-0.03997,-0.0116,0.05804,0.00057,0.00998,-0.00035,0.00895,0.00828,-0.01811,-0.00435,-0.00121,0.00224,-0.00526,0.01135,-0.0026,0.02101,-0.00231,0.00105,-0.00497,-0.00512,0.00851,0.00496,-0.00756,0.004,0.00312,0.01096,0.00279,-0.00446,0.00213
Migraine,0.02342,-0.00705,-0.01158,0.02987,0.02877,-0.00231,-0.00046,0.00805,0.00127,-0.00168,0.00084,0.00374,-0.01094,0.00722,0.00344,-0.00083,0.00518,0.00047,0.00112,-0.00063,-0.00261,0.00067,-0.00082,0.00117,8e-05,-0.00157,-0.00169,0.00016,0.00031,-0.00062
Motor neurone disease,-0.10056,-0.021,-0.00323,0.01189,-0.01685,0.01335,-0.00447,-0.0087,0.00541,-0.00759,-0.00691,-0.01151,0.00121,-0.01132,-0.00368,-0.00473,0.00552,0.02367,0.00112,0.00993,0.00112,-0.00557,0.0011,0.00027,0.00384,0.00213,-0.0032,0.00674,-0.00752,0.00041
Multiple sclerosis,-0.00958,-0.00619,-0.00467,0.03214,0.00747,0.01571,0.00706,-0.00526,0.00293,-0.00389,0.00051,-0.00406,-0.00042,0.02065,0.00257,0.00349,0.01104,0.01609,0.00627,0.01359,-0.00356,-0.00539,-0.00251,0.00672,-0.00027,-0.00418,-0.00955,0.02052,-0.01008,-0.00035
Multiple valve disorder,-0.33152,-0.16704,-0.02966,-0.06484,0.01987,-4e-05,0.0328,0.0043,0.02079,0.0851,0.02012,0.12996,-0.0003,-0.0129,0.02555,-0.00689,0.0052,0.00679,0.00729,-0.10049,-0.02064,-0.02603,0.02388,0.0294,-0.01511,0.02126,0.00957,0.01123,0.01008,-0.00399
Myasthenia gravis,-0.1446,-0.01708,-0.0031,0.02056,-0.00533,0.02496,-0.00714,0.00576,-0.00341,0.00278,-0.00609,0.0003,0.00961,0.00275,-0.00922,-0.00407,-0.00164,0.00259,-0.00298,0.00726,-0.00212,-0.00742,0.00189,-0.00595,0.00183,-0.00826,-0.00265,0.00083,-0.00068,0.00285
Myelodysplastic Syndrome,-0.27615,-0.07563,-0.08399,-0.04782,-0.00729,0.06648,-0.01004,0.03574,-0.01266,0.03391,-0.034,0.02794,0.02399,0.05365,-0.15905,-0.10764,0.08281,-0.01882,-0.00757,-0.00428,0.03624,-0.00553,-0.04404,-0.0136,-0.04911,0.03951,-0.02626,-0.00249,0.08597,-0.0262
Myocardial Infarction,-0.31371,-0.06657,0.00477,-0.10848,0.05788,-0.10073,0.01456,0.01375,-0.00974,-0.01766,-0.01229,-0.03391,0.0099,0.01809,0.0017,0.00325,0.00032,0.00398,0.00034,0.00066,-0.00058,0.00265,0.00095,0.00115,-0.00018,-0.00024,0.00127,0.0009,-0.00094,0.00084
Neuropathic Bladder,-0.11253,-0.02598,-0.02015,0.06597,0.02391,0.01558,0.00151,-0.0019,0.00618,-0.0145,-0.01121,-0.00093,-0.00639,0.00564,0.00916,-0.00174,0.01328,0.00062,-0.00169,0.00838,0.00689,-0.00969,0.00327,0.0021,0.00288,-0.00498,-0.00618,0.01849,-0.00726,0.00446
Non-Hodgkin Lymphoma,-0.13641,-0.031,-0.01855,0.00096,-0.02214,0.01901,-0.01211,0.01094,-0.03036,0.0148,-0.01231,0.01695,0.00882,0.00543,-0.05584,-0.03475,0.02161,0.00947,-0.00576,0.00393,0.00697,0.01184,-0.01256,0.00159,-0.00551,0.00177,0.00961,0.00536,0.00364,0.03942
Nonrheumatic aortic valve disorders,-0.29521,-0.09839,-0.01545,-0.04817,0.01071,-0.00043,0.01189,0.0036,0.01128,0.03414,0.0067,0.0491,0.00205,-0.00493,0.00905,-0.00196,0.00358,0.00032,0.00076,-0.03605,-0.00602,-0.01079,0.00703,0.00928,-0.00669,0.00673,0.00265,0.00158,0.0042,-0.00103
Nonrheumatic mitral valve disorders,-0.25726,-0.11736,-0.02181,-0.04999,0.01729,-0.01161,0.02221,0.0055,0.01092,0.05793,0.00955,0.08895,-0.00038,-0.01074,0.01693,-0.00265,0.0048,0.00633,0.00684,-0.03318,-0.00703,-0.00755,0.00879,0.00889,-0.00453,0.00752,0.00383,0.00585,0.00158,-0.00198
Obesity,-0.05102,0.02728,0.00592,0.00848,0.00193,-0.00842,0.00149,-0.00324,0.00044,0.00346,-0.00262,0.00319,-0.00431,0.00209,-0.00056,0.00075,-0.00012,-0.00305,-0.00221,0.00094,0.00072,-0.00243,-0.00099,0.0023,0.00089,-0.0005,-0.00171,-0.00166,7e-05,0.00018
Obsessive-compulsive disorder,0.05575,2e-05,-0.03564,0.02473,0.06588,-0.00205,0.00997,-0.05721,-0.00851,-0.01119,-0.00257,0.00747,0.00522,-0.00141,0.00093,-0.00109,0.01909,-0.00796,0.00536,-0.00707,-0.00473,0.00411,0.00699,-0.01494,0.00124,0.00262,0.00165,-0.01148,0.00704,0.00248
Obstructive and reflux uropathy,-0.07407,-0.02438,-0.00887,-0.0011,0.00291,0.01707,-0.00598,0.00086,-0.02296,0.0011,-0.00957,-0.00297,-0.00291,-0.00497,-0.00397,-0.00787,0.00597,-0.00807,0.00493,0.00375,0.00081,-0.01668,-0.0022,-0.00311,-0.00078,-0.01229,-0.00784,-0.00046,-0.0025,0.01253
Oesophageal varices,-0.20894,0.31766,-0.96267,-0.20353,-0.22529,0.03091,0.01503,0.13146,0.04743,0.04244,-0.03603,-0.04101,-0.00913,0.05817,0.02537,-0.01705,0.05108,-0.00901,0.00416,-0.01412,0.00507,0.00728,0.04649,-0.02677,0.02264,0.02884,-0.05284,-0.01629,-0.03115,-0.00249
Osteoarthritis (excl spine),-0.15355,-0.0171,-0.0028,0.03195,-0.00939,0.00597,-0.00049,0.00323,0.00319,-0.00481,-0.00164,0.00122,0.00304,-0.00109,0.00153,0.00209,0.0026,3e-05,-0.00268,0.00097,0.0025,-0.00278,0.00073,0.00115,0.00204,0.00031,0.00052,-0.00051,0.00037,0.00014
Osteoporosis,-0.17578,-0.0668,-0.02322,0.03519,-0.01312,0.04724,0.01211,-0.00256,0.00514,-0.00072,0.00635,6e-05,0.01823,0.02353,0.00374,0.00799,-0.01298,0.00834,-0.00363,0.00381,0.00662,0.00146,0.00051,-0.00453,-0.00174,0.00604,0.00519,-0.0,-0.0017,0.00124
Other haemolytic anaemias,-0.03317,-0.00663,-0.03358,-0.02087,0.00843,0.02789,-0.00582,0.02221,-0.01496,0.02699,-0.02053,0.02009,0.00305,0.03203,-0.10209,-0.06529,0.0307,0.01213,-0.01288,0.00485,0.01048,0.01844,-0.01818,0.03608,-0.00036,-0.0054,0.05341,0.00632,-0.01518,0.01035
Pancreatitis,-0.13431,0.03166,-0.0672,0.0007,0.01129,0.00304,-0.00369,-0.00935,-0.01031,-0.01431,0.0022,0.00386,0.00023,-0.007,-0.00684,-0.00529,-0.02018,0.00135,0.00754,0.00387,-0.00119,-0.00245,-0.00562,0.00614,4e-05,-0.00319,0.01251,0.00268,-0.00091,0.00242
Parkinson's disease,-0.18124,-0.06587,-0.0036,0.00183,-0.01173,0.03927,0.0035,-0.01605,0.01456,-0.01824,0.0089,-0.02663,0.01146,-0.00549,0.00256,-0.0072,0.01492,-0.00611,0.00758,0.00802,0.01445,-0.02014,0.00276,-0.01208,0.00081,-0.00359,-0.00089,0.01775,-0.0108,0.00016
Pericardial Effusion,-0.23445,-0.07185,-0.04026,-0.04256,0.02499,0.00689,-0.00526,-0.00295,-0.04951,0.07282,-0.0096,0.09141,-0.00369,0.00474,-0.01494,0.00238,-0.01373,0.0261,-0.01553,-0.02749,-0.01463,-0.00123,-0.00881,0.00184,-0.00073,-0.00019,-0.01578,0.02019,0.0133,0.02538
Peripheral Neuropathy,-0.17656,0.05073,-0.01021,0.00713,0.04476,0.02803,-0.01742,0.01734,-0.00504,-0.01963,-0.00084,0.00397,0.00814,-0.02628,0.00306,0.00092,0.01108,0.04732,0.00321,0.00771,-0.00344,-0.00287,-0.00042,0.00748,-0.0193,-0.00038,-0.00811,-0.01122,-0.00039,-0.00074
Peripheral Vascular Disease,-0.29831,-0.02362,-0.00582,-0.05437,0.03228,-0.00389,-0.00435,-0.00088,-0.00851,-0.00955,0.00646,-0.01464,0.00205,-0.00759,-0.0068,0.0053,-0.00638,0.01876,-0.00923,0.00033,-0.00379,-0.00227,-0.00827,-0.00389,-0.00638,-0.00254,-0.00613,-0.00467,-0.00141,-0.00332
Personality disorders,0.0209,0.02315,-0.06392,0.02691,0.08187,-0.01347,0.02097,-0.11578,-0.0199,-0.01545,0.0135,0.00698,0.02374,-0.014,-0.01574,-0.00149,0.00556,-0.01116,-0.0074,-0.00099,-0.00064,0.003,0.02366,-0.00057,-0.00816,-0.00293,-0.00477,0.00141,0.0035,-0.00109
Plasma Cell Malignancy,-0.18043,-0.04644,-0.01377,-0.0008,-0.02342,0.04008,-0.00887,0.01009,-0.02416,0.00938,-0.00561,0.01651,0.01862,0.00481,-0.03884,-0.02236,0.01225,0.00716,-0.00576,0.01329,0.009,-0.01127,-0.01016,-0.00529,-0.0104,0.00243,-0.00255,-0.00405,0.01624,0.02695
Pleural effusion,-0.25151,-0.07427,-0.05419,-0.05503,0.00052,0.00896,-0.03712,-0.00758,-0.06441,0.04725,0.00028,0.04418,-0.00264,0.00338,-0.00394,0.00338,-0.0062,0.00938,-0.00986,-0.01124,-0.0056,0.00248,-0.00954,0.00024,-0.00479,0.00595,-0.01185,0.01096,0.00821,0.01967
Pleural plaque,-0.30702,-0.13968,-0.05057,-0.0615,-0.03338,-0.08361,-0.72316,-0.18726,0.1132,0.08606,0.03205,-0.01952,-0.00894,0.06812,0.02393,0.00701,0.01553,0.00362,0.01663,0.00655,0.00667,0.00098,0.00904,0.01171,-0.0034,-0.00109,0.00498,-0.00225,0.00166,-0.00011
Polycystic ovarian syndrome,0.08661,0.01388,-0.00369,0.0008,0.04467,-0.00138,-0.0008,0.00831,0.00049,0.00767,0.00258,0.00585,-0.01822,0.02083,0.00291,-0.00047,0.00479,-0.01035,0.00311,0.00021,-0.00141,-0.01114,-0.00887,0.00513,-0.00222,-0.01225,-0.01133,-0.00278,0.00278,-0.00353
Polycythaemia vera,-0.15662,-0.0022,-0.03397,-0.01103,-0.0112,-0.00962,0.00016,-0.02275,-0.00706,0.01127,-0.00584,0.00712,-0.02829,-0.02496,-0.04292,-0.00276,-0.00982,0.00677,-0.03178,0.00899,-0.0238,-0.00976,-0.07199,-0.0067,0.00023,-0.02356,-0.00291,-0.02172,-0.10128,0.00312
Polymyalgia Rheumatica,-0.23734,-0.06664,-0.00692,0.04243,-0.00987,0.03707,0.00518,0.01166,0.01272,0.00248,0.00584,-0.00205,0.02471,0.00856,0.00288,0.00984,-0.00362,-0.00269,-0.00762,-0.00024,0.00995,-0.00579,0.00425,-0.00071,0.00452,0.00295,0.00624,-0.01528,0.00903,-0.00259
Portal hypertension,-0.21218,0.35427,-1.09698,-0.22954,-0.25456,0.03389,0.01526,0.15524,0.05776,0.05307,-0.04859,-0.04434,-0.01225,0.07513,0.02266,-0.02946,0.06905,-0.01084,0.00311,-0.01945,0.00893,0.01152,0.05668,-0.03286,0.02954,0.04157,-0.07255,-0.02164,-0.04219,-0.00329
Posterior Uveitis,-0.08297,-0.01144,-0.00248,0.01319,-0.00766,0.04323,0.0014,0.00795,0.01014,0.00032,-0.00469,-0.00363,0.04056,0.00404,-0.02309,0.01825,0.00858,-0.02126,0.02505,0.02462,-0.1005,0.05688,-0.00901,0.07645,0.03429,-0.0026,-0.03688,0.00598,0.01651,0.01367
Primary Malignancy_Biliary Tract,-0.18233,0.00826,-0.0613,-0.01334,-0.05132,0.0405,-0.02633,0.0191,-0.16136,0.0201,-0.02134,-0.01918,-0.01922,0.01282,0.01036,-0.0031,0.01477,-0.01669,0.02807,-0.00359,0.00629,0.00212,0.07435,0.02315,0.03094,-0.00526,0.02565,-0.05879,-0.06818,-0.03655
Primary Malignancy_Bladder,-0.22466,-0.05001,0.00103,-0.02342,-0.02466,0.00997,-0.02229,0.00061,-0.03325,-0.0086,-0.00254,-0.0158,0.00189,-0.03244,-0.00774,-0.00961,0.01225,-0.01894,0.00013,-0.0013,-0.00358,-0.01791,-0.00821,-0.01875,-0.00119,-0.01316,-0.0122,0.00106,-0.00112,0.00799
Primary Malignancy_Bone,-0.05556,-0.0183,-0.01238,0.00154,-0.02382,0.02154,-0.01428,0.00356,-0.10498,0.01767,-0.00778,-0.00378,-0.01338,-4e-05,0.00446,0.00334,0.0076,0.00611,0.00374,0.0074,-0.00281,0.00253,-0.00363,-8e-05,-0.00113,-0.00166,-0.00075,0.00668,0.01108,0.01719
Primary Malignancy_Bowel,-0.17933,-0.03835,-0.00319,-0.00262,-0.03775,0.03585,-0.0149,0.00155,-0.0912,0.00694,-0.00567,-0.011,-0.00634,-0.00525,0.00574,-0.00319,0.00343,-0.01199,0.01367,0.00023,0.00134,-0.0055,0.01057,0.00483,-0.00212,-0.00711,0.01176,-0.01702,-0.00798,-0.01666
Primary Malignancy_Brain,-0.03284,-0.0091,2e-05,0.00241,-0.01286,0.02355,0.0074,-0.02883,-0.02809,0.01827,-0.02116,-0.02265,-0.02567,4e-05,-0.00316,-0.00259,0.00419,0.0199,-0.00051,0.01085,-0.00458,0.01138,-0.00925,0.00119,0.00137,0.00752,-0.00954,0.02525,0.00576,0.0039
Primary Malignancy_Breast,-0.10101,-0.02344,-0.00248,0.04321,-0.02376,0.03286,0.00893,-0.00017,-0.0389,0.01036,0.00569,0.00449,0.00436,0.03128,0.01801,0.01228,0.00035,0.00846,-0.00232,0.00238,0.00748,0.00477,0.00219,0.00298,-0.00182,0.00635,0.00384,0.00304,0.00049,0.00648
Primary Malignancy_Cervix,-0.05755,-0.01053,-0.0096,0.03253,-0.00209,0.01914,0.00946,-0.00585,-0.03159,0.00769,0.00871,0.00103,0.0009,0.03166,0.00851,0.008,-0.00116,0.00761,0.00031,0.00748,0.00929,-0.01003,-0.00371,0.0066,-0.00156,0.00048,-0.00226,-0.00146,-0.00588,0.01918
Primary Malignancy_Kidney,-0.20528,-0.0254,-0.00429,-0.00308,-0.03358,0.02434,-0.02015,-0.00351,-0.11816,0.01671,-0.00936,-0.00526,-0.01952,-0.01018,-0.00572,-0.0019,0.01139,-0.02106,0.00123,0.00528,-0.00635,-0.01579,-0.00483,-0.0052,-0.00203,-0.01672,-0.00527,-0.01212,0.00237,0.02658
Primary Malignancy_Liver,-0.23538,0.19051,-0.51504,-0.14564,-0.13073,0.04636,-0.01333,0.08071,-0.05466,0.03532,-0.02424,-0.03543,-0.00567,0.02498,0.01586,-0.01129,0.04195,-0.01837,0.00315,-0.01251,0.01041,0.00617,0.08715,0.00135,0.03797,0.0166,-0.05173,-0.02644,-0.0641,-0.01929
Primary Malignancy_Lung,-0.19139,-0.05017,-0.02442,-0.00937,-0.02569,0.01675,-0.03671,-0.01696,-0.15042,0.01544,-0.00208,-0.01295,-0.01329,0.00045,-0.001,0.02512,-0.02706,0.01697,-0.03789,-0.00073,-0.01271,0.0144,-0.03392,-0.01908,-0.00103,0.02197,-0.0263,0.02779,0.01368,-0.00478
Primary Malignancy_Melanoma,-0.09787,-0.03567,0.00416,0.01754,-0.03533,0.01509,-0.00522,0.00735,-0.0296,8e-05,0.00061,-0.00569,0.00247,-0.00789,0.00702,-0.00072,0.0167,-0.00142,0.00645,-0.00288,-0.00067,0.00061,0.00254,-0.00856,-0.00062,-0.0023,0.0025,0.00583,0.0005,0.01436
Primary Malignancy_Mesothelioma,-0.20073,-0.08041,-0.02176,-0.03669,-0.052,-0.01297,-0.17804,-0.03539,-0.12611,0.06977,-0.00223,0.0416,-0.00939,-0.01115,-0.00677,0.00323,-0.00614,0.01806,-0.02525,-0.04041,-0.02821,0.01341,-0.05023,-0.0147,-0.01631,0.02583,-0.06641,0.06504,0.04716,0.11244
Primary Malignancy_Multiple Sites,-0.23597,-0.02215,-0.09506,-0.03649,-0.04546,0.11083,-0.01491,-0.02748,-0.29962,0.09728,-0.06866,0.01555,-0.05431,0.03023,-0.04992,-0.03122,0.04367,0.03067,0.04891,0.03066,-0.05888,0.02025,0.05929,0.02444,0.0209,-0.02269,0.04904,0.00958,-0.00904,0.0897
Primary Malignancy_Oesophageal,-0.16831,-0.03491,-0.02518,-0.00193,-0.03649,0.01298,-0.03191,0.00011,-0.10885,-0.01223,-0.02213,-0.00132,-0.0174,-0.01921,-0.00401,-0.02721,-0.05184,-0.00615,0.03577,-0.01445,0.01581,0.0133,-0.00027,0.00497,-0.00199,-0.00842,-0.00183,-0.01152,0.0024,-0.01906
Primary Malignancy_Oropharyngeal,-0.11058,-0.01555,-0.03748,0.0018,-0.04022,0.00782,-0.01369,-0.00599,-0.06701,0.00021,0.00166,-0.01188,-0.00404,-0.0129,0.00019,0.0054,-0.00255,0.00905,0.00092,0.00173,-0.00692,0.00507,-0.01077,-0.01099,-0.00711,-0.00602,0.00923,0.00683,0.00741,0.01598
Primary Malignancy_Ovary,-0.11093,-0.01031,0.00079,0.04416,-0.0273,0.04086,0.00693,-0.00136,-0.07836,0.02434,0.00076,0.00912,-0.00523,0.05218,0.01951,0.01144,0.00845,0.0055,0.00063,0.00424,0.01808,-0.00603,0.01167,0.03399,-0.00612,-0.00533,0.01066,-0.01829,-0.01405,0.06549
Primary Malignancy_Pancreas,-0.175,0.01276,-0.00507,-0.00367,-0.0292,0.04144,-0.02821,0.00667,-0.16072,0.01252,-0.0157,-0.01313,-0.01994,0.00456,0.00428,-0.00714,0.0006,-0.00695,0.02144,-0.00377,0.01036,0.00938,0.03922,0.03344,0.02431,-0.01139,0.05239,-0.03755,-0.03986,-0.04279
Primary Malignancy_Prostate,-0.18995,-0.0447,0.00831,-0.01569,-0.04453,-0.00017,-0.02794,0.00431,-0.03772,-0.0128,-0.00951,-0.01709,-0.00116,-0.04785,-0.00656,-0.01475,0.01889,-0.01884,0.00592,-0.00196,-0.00613,-0.0114,-0.00118,-0.01551,0.00148,-0.00939,-0.00727,0.00697,0.00232,0.00204
Primary Malignancy_Skin,-0.16208,-0.05504,-0.00071,0.00953,-0.03148,0.0186,-0.00456,0.00422,-0.00305,-0.00572,0.00209,-0.00571,0.0074,-0.01092,0.00037,-0.00326,0.01092,-0.00443,0.00306,-0.0022,0.00021,-0.00033,0.0009,-0.00694,-0.00205,-0.00176,0.00225,0.00133,-0.00118,0.00587
Primary Malignancy_Stomach,-0.19804,-0.04217,-0.01481,-0.01308,-0.02227,0.03788,-0.02959,0.0059,-0.11197,0.0019,-0.01639,-0.00906,-0.00804,0.00163,-0.02001,-0.02156,-0.01928,-0.01234,0.02862,0.00203,0.00516,-0.01365,0.00419,0.01071,-0.01091,-0.01379,0.02258,-0.01963,-0.00601,-0.02819
Primary Malignancy_Testis,-0.00565,0.01103,5e-05,-0.01256,-0.02511,-0.01084,-0.00936,-0.00455,-0.03758,0.00188,-0.01141,-0.00238,-0.00343,-0.02544,-0.00736,-0.0073,0.0032,0.0066,0.00641,-0.00062,-0.00342,-0.00072,0.00198,0.00172,0.00509,-0.00052,0.00324,-0.00311,-0.00195,0.00248
Primary Malignancy_Thyroid,-0.04212,-0.00548,-0.0015,0.04018,-0.00709,0.01624,0.00505,0.00626,-0.03761,0.02306,-0.00418,0.01021,-0.0052,0.04314,0.00979,0.00363,0.00225,0.01104,0.00411,0.00676,0.00411,-0.0026,0.00423,-0.00215,-0.01571,-0.01164,0.00122,0.00273,0.00166,0.01531
Primary Malignancy_Uterus,-0.15745,0.0086,0.01261,0.04288,-0.02191,0.04349,0.01615,-0.00418,-0.04084,0.02016,0.00371,0.01218,-0.00172,0.05249,0.02385,0.01345,0.0067,-0.00265,-0.00081,0.00408,0.02098,-0.01026,0.00954,0.03152,-0.00487,-0.00403,0.00778,-0.01636,-0.01099,0.05852
Primary Malignancy_other,-0.1646,-0.03544,-0.0128,0.00628,-0.03642,0.03076,-0.01733,-0.00048,-0.09951,0.01177,-0.00629,-0.00736,-0.00773,-0.00103,-0.00183,-0.00155,0.0112,-0.00815,0.00606,0.00171,-0.00148,-0.00409,0.00327,0.00028,-0.00462,-0.01026,0.00717,-0.00996,-0.00633,0.02753
Primary Thrombocytopaenia,-0.05882,-0.00732,-0.06963,-0.01705,-0.00416,0.0263,-0.00483,0.02887,-0.01143,0.03291,-0.02943,0.01367,0.00462,0.04559,-0.13703,-0.0863,0.07558,0.01839,-0.02429,0.0008,0.01707,0.04258,-0.02536,0.02548,0.00755,0.00236,0.05145,0.00983,-0.00865,-0.03753
Primary pulmonary hypertension,-0.34476,-0.13885,-0.05047,-0.09691,0.04389,0.00869,0.01628,-0.00623,0.01822,0.12759,-0.00359,0.19472,0.00101,-0.0134,0.00637,-0.0006,-0.02766,0.02872,-0.0229,-0.09975,-0.03995,-0.02334,-0.00373,0.01094,0.00579,-0.00231,-0.00469,0.01372,-0.02815,-0.00967
Psoriasis,-0.02559,0.00256,-0.00987,0.01389,0.0041,-0.00536,-0.00439,0.00812,0.00246,-0.00205,-0.00964,0.00267,-0.00313,-0.00807,-0.02895,0.04876,0.00368,-0.00368,0.01571,-0.00818,0.01294,0.00336,-0.00199,0.00063,-0.00161,0.00137,-0.00188,0.00046,-0.00248,-0.00035
Psoriatic Arthritis,-0.07318,0.01512,-0.02219,0.05569,0.00938,-0.0196,-0.01017,0.02965,0.0085,0.01171,-0.02605,0.00468,0.00169,-0.02388,-0.10756,0.16784,0.00607,-0.00651,0.06223,-0.02968,0.04942,0.01028,-0.00893,0.0064,0.00758,0.00746,-0.01278,-0.00222,-0.00555,-0.00104
